id_poliza,edad,sexo,producto,suma_asegurada,prima_anual,fecha_inicio
P1000,58,M,Vida Riesgo,210968,86.07,2022-08-05
P1001,71,M,Vida Ahorro,69163,30.68,2021-05-08
P1002,48,M,Vida Ahorro,61934,36.65,2023-12-06
P1003,34,F,Dependencia,205967,202.28,2013-07-09
P1004,62,F,Vida Riesgo,15486,6.5,2016-08-12
P1005,27,F,Vida Riesgo,149407,209.76,2021-11-04
P1006,40,F,Vida Ahorro,136020,58.5,2015-03-01
P1007,58,M,Vida Riesgo,112795,73.63,2019-11-03
P1008,77,F,Vida Riesgo,230184,79.12,2013-11-10
P1009,38,M,Mixto,152202,180.13,2015-01-06
P1010,42,M,Mixto,247027,180.03,2021-09-26
P1011,30,F,Vida Riesgo,128324,209.27,2011-12-03
P1012,30,F,Vida Ahorro,207775,236.01,2010-10-20
P1013,43,F,Vida Ahorro,299336,131.94,2023-09-20
P1014,72,F,Vida Ahorro,273206,162.68,2010-10-27
P1015,55,F,Vida Riesgo,94076,40.71,2012-06-19
P1016,59,F,Vida Ahorro,99780,40.43,2023-10-05
P1017,43,F,Dependencia,162617,42.63,2022-08-27
P1018,22,F,Vida Ahorro,31689,40.5,2017-10-10
P1019,41,M,Dependencia,283318,216.82,2023-11-30
P1020,72,F,Vida Ahorro,19348,6.51,2018-11-12
P1021,21,F,Vida Riesgo,48102,88.06,2015-12-15
P1022,43,M,Vida Ahorro,84460,29.76,2019-10-02
P1023,63,F,Vida Ahorro,99930,36.81,2015-06-16
P1024,49,M,Mixto,16801,7.84,2016-06-19
P1025,57,M,Vida Riesgo,113150,27.18,2013-02-18
P1026,21,F,Vida Ahorro,213339,249.57,2021-03-12
P1027,79,M,Vida Ahorro,189208,89.84,2013-08-03
P1028,40,M,Mixto,164697,125.44,2013-09-30
P1029,52,M,Vida Riesgo,223945,70.11,2012-11-22
P1030,31,M,Dependencia,241915,195.81,2020-05-20
P1031,77,F,Vida Ahorro,213664,28.04,2024-07-10
P1032,41,M,Vida Riesgo,218124,237.98,2019-05-20
P1033,63,F,Mixto,11542,2.45,2016-09-08
P1034,44,M,Mixto,293821,226.32,2020-07-10
P1035,68,M,Dependencia,187804,136.57,2024-03-10
P1036,46,M,Vida Riesgo,191415,130.93,2018-01-30
P1037,78,M,Vida Ahorro,49081,29.55,2022-04-23
P1038,61,F,Vida Ahorro,203928,65.01,2016-11-18
P1039,47,F,Dependencia,229930,197.63,2014-11-09
P1040,79,M,Vida Riesgo,291209,115.2,2020-04-27
P1041,35,M,Vida Riesgo,224532,249.04,2024-12-13
P1042,34,F,Vida Riesgo,98092,36.04,2015-07-08
P1043,66,M,Vida Riesgo,299106,72.1,2022-02-06
P1044,70,M,Vida Ahorro,38295,8.38,2018-05-07
P1045,63,M,Vida Riesgo,23807,14.17,2021-11-28
P1046,74,F,Vida Riesgo,167504,99.09,2016-03-28
P1047,71,F,Mixto,248067,139.7,2021-03-07
P1048,76,F,Dependencia,178152,26.3,2018-05-13
P1049,22,M,Vida Riesgo,176981,316.36,2012-07-25
P1050,56,M,Vida Riesgo,230411,99.43,2023-12-09
P1051,70,F,Vida Ahorro,29870,11.05,2022-06-04
P1052,26,F,Vida Riesgo,213196,116.39,2024-09-07
P1053,40,F,Vida Riesgo,258683,255.42,2013-04-08
P1054,28,F,Vida Riesgo,244677,151.1,2010-08-03
P1055,58,M,Vida Riesgo,36790,20.65,2017-06-15
P1056,37,F,Mixto,128874,151.96,2021-08-06
P1057,23,M,Vida Riesgo,297433,161.42,2020-12-19
P1058,44,F,Mixto,234786,167.62,2017-03-12
P1059,79,M,Vida Ahorro,25485,6.24,2015-02-22
P1060,33,F,Vida Riesgo,96188,69.13,2010-08-19
P1061,69,F,Vida Ahorro,14748,6.19,2024-02-13
P1062,77,F,Vida Riesgo,227841,71.62,2021-05-13
P1063,28,F,Vida Ahorro,150507,193.26,2013-02-25
P1064,45,M,Vida Riesgo,275853,178.9,2015-05-18
P1065,72,F,Vida Riesgo,133961,62.08,2015-02-02
P1066,21,M,Vida Ahorro,40355,63.72,2016-02-08
P1067,39,M,Vida Riesgo,196843,163.08,2016-07-12
P1068,47,M,Vida Riesgo,166542,118.57,2023-02-11
P1069,66,M,Vida Riesgo,183416,90.54,2022-05-06
P1070,79,F,Vida Riesgo,49298,15.69,2023-03-13
P1071,26,M,Mixto,71629,64.74,2024-05-28
P1072,63,M,Vida Riesgo,240907,175.85,2015-12-01
P1073,27,M,Vida Ahorro,33960,43.14,2020-07-05
P1074,66,F,Vida Ahorro,223920,67.09,2021-11-07
P1075,54,F,Vida Ahorro,252804,140.12,2023-07-23
P1076,33,F,Vida Riesgo,139695,98.27,2014-06-21
P1077,36,F,Vida Riesgo,244286,321.29,2020-07-16
P1078,55,M,Dependencia,138148,25.87,2015-02-20
P1079,69,M,Mixto,292703,80.66,2012-02-28
P1080,59,F,Mixto,202714,84.57,2016-12-29
P1081,23,M,Vida Riesgo,217611,256.89,2020-07-26
P1082,21,M,Vida Riesgo,293876,517.61,2015-07-07
P1083,25,M,Vida Riesgo,269747,145.83,2015-12-24
P1084,73,F,Vida Ahorro,101362,58.64,2014-08-12
P1085,61,F,Vida Riesgo,285987,57.32,2015-06-04
P1086,23,M,Mixto,124065,216.83,2018-05-14
P1087,73,F,Vida Riesgo,27640,4.57,2014-02-24
P1088,48,F,Dependencia,62528,13.98,2020-12-20
P1089,37,F,Vida Ahorro,269214,275.61,2013-10-03
P1090,45,F,Mixto,120133,133.19,2010-12-28
P1091,63,F,Vida Riesgo,209938,152.84,2022-12-11
P1092,53,M,Vida Ahorro,160159,99.84,2011-10-13
P1093,29,F,Vida Ahorro,182502,293.86,2021-12-07
P1094,55,M,Vida Riesgo,165576,30.74,2015-03-31
P1095,33,M,Vida Riesgo,21023,31.22,2012-01-25
P1096,50,F,Dependencia,31447,18.64,2017-03-21
P1097,67,M,Mixto,296103,171.99,2023-09-07
P1098,34,M,Vida Riesgo,76203,96.0,2021-09-18
P1099,27,M,Vida Riesgo,170775,245.02,2021-06-07
P1100,33,F,Vida Ahorro,19337,18.4,2013-03-22
P1101,42,F,Mixto,56427,39.05,2017-10-19
P1102,79,M,Vida Riesgo,115787,63.82,2015-05-24
P1103,76,F,Vida Riesgo,172993,41.43,2021-08-13
P1104,59,F,Vida Riesgo,137016,113.14,2014-10-10
P1105,40,F,Vida Ahorro,276979,266.16,2018-02-03
P1106,35,F,Vida Ahorro,30159,15.49,2010-04-20
P1107,64,M,Vida Riesgo,188677,116.3,2016-10-01
P1108,37,M,Dependencia,176619,148.9,2022-12-25
P1109,66,F,Vida Ahorro,92844,53.86,2018-02-27
P1110,72,F,Vida Riesgo,37532,21.22,2019-02-17
P1111,43,M,Vida Riesgo,175421,55.04,2013-01-14
P1112,45,M,Vida Riesgo,132402,88.99,2017-01-18
P1113,44,F,Dependencia,128012,137.56,2021-07-22
P1114,79,M,Vida Ahorro,66178,19.12,2016-10-10
P1115,79,F,Vida Ahorro,59407,25.38,2013-02-20
P1116,79,F,Vida Ahorro,60990,19.12,2023-07-12
P1117,64,M,Vida Ahorro,139473,61.39,2020-11-27
